Employee_ID,Employee_Name,Age,Country,Department,Position,Salary,Joining_Date
1,Daniel Taylor,25,UK,HR,Analyst,142278.32,2023-06-04
2,Ethan Brown,44,India,Marketing,Executive,98549.2,2018-01-13
3,Sophia Martinez,51,Japan,Finance,Developer,85565.84,2015-04-30
4,Ethan Martinez,47,Germany,Support,Analyst,34513.67,2015-06-17
5,Mia Brown,32,Australia,Support,Consultant,45339.72,2019-02-22
6,Ava Moore,35,Japan,HR,Executive,90973.25,2018-09-29
7,Mason Brown,48,UK,Finance,Assistant,58227.95,2021-08-24
8,Mason Anderson,45,USA,Finance,Manager,147839.1,2021-01-08
9,Sophia Wilson,40,Brazil,Marketing,Developer,126394.86,2018-12-20
10,Ava Martinez,40,India,Sales,Manager,119828.28,2018-05-18
11,Lily Brown,24,Australia,Support,Analyst,52673.56,2024-08-22
12,Emma Moore,25,Canada,HR,Consultant,65475.24,2016-11-20
13,Logan Taylor,45,USA,Sales,Assistant,97261.76,2024-07-03
14,Mason Hernandez,34,Mexico,Marketing,Executive,144619.82,2017-11-12
15,Ava Hernandez,47,Mexico,Sales,Assistant,87494.81,2021-09-07
16,Lily Taylor,42,Brazil,Marketing,Consultant,67741.4,2021-10-11
17,Lily Jackson,42,India,Marketing,Assistant,39667.76,2016-08-10
18,Daniel Anderson,44,Canada,Engineering,Consultant,113240.58,2017-02-20
19,Ethan Davis,39,Australia,HR,Consultant,88609.78,2021-12-04
20,Lily Hernandez,55,USA,Support,Analyst,75824.9,2021-03-01
21,Sophia Brown,49,UK,Finance,Consultant,68754.5,2022-08-24
22,Mia Moore,50,Australia,Support,Consultant,46195.44,2021-10-25
23,Sophia Moore,60,Japan,Engineering,Consultant,145005.3,2018-11-09
24,Mason Anderson,39,USA,Engineering,Developer,120007.88,2022-04-16
25,Mason Wilson,50,Germany,Sales,Consultant,54029.27,2021-01-09
26,Lucas Davis,25,Germany,Support,Assistant,118576.23,2015-04-25
27,Logan Davis,42,Japan,Engineering,Assistant,106711.66,2024-05-12
28,Mia Thomas,23,Brazil,HR,Manager,129690.0,2024-07-21
29,Emma Anderson,50,India,Engineering,Consultant,53283.43,2016-11-04
30,Sophia Martinez,52,UK,Sales,Manager,138677.05,2022-08-03
31,Lucas Thomas,26,USA,Finance,Developer,94449.41,2017-08-27
32,Sophia Davis,55,Mexico,Finance,Developer,93124.61,2017-11-23
33,Mason Hernandez,22,France,HR,Manager,90844.09,2021-01-28
34,Mia Anderson,52,USA,Support,Consultant,116429.2,2015-09-14
35,Ethan Anderson,53,Germany,Marketing,Executive,103514.25,2022-01-01
36,Sophia Hernandez,33,France,Support,Analyst,142158.9,2015-10-02
37,Logan Davis,36,France,Engineering,Consultant,119260.22,2025-01-06
38,Mason Wilson,43,India,HR,Executive,133786.9,2020-02-05
39,Mia Taylor,46,India,HR,Developer,114691.42,2021-11-26
40,Mason Thomas,34,Australia,HR,Consultant,30898.14,2023-07-28
41,Logan Martinez,47,India,Engineering,Developer,106882.31,2024-07-28
42,Lily Taylor,23,Mexico,Engineering,Manager,44606.68,2020-03-09
43,Daniel Jackson,28,Germany,Engineering,Assistant,131824.26,2017-12-05
44,Daniel Martinez,49,Japan,Engineering,Manager,142496.06,2018-09-23
45,Emma Hernandez,26,Brazil,Engineering,Manager,127274.8,2024-12-14
46,Emma Anderson,28,Brazil,Finance,Manager,82260.09,2016-12-06
47,Lily Taylor,51,India,Finance,Manager,40256.17,2018-12-01
48,Ethan Martinez,35,Mexico,Finance,Analyst,42461.83,2020-10-11
49,Daniel Brown,38,Canada,Sales,Consultant,94041.78,2018-05-26
50,Daniel Brown,53,India,Marketing,Assistant,148198.92,2015-06-09
51,Logan Jackson,23,France,Support,Manager,96377.76,2020-04-17
52,Lily Davis,35,USA,Support,Analyst,53445.55,2018-10-16
53,Ava Wilson,22,USA,Finance,Assistant,122422.5,2022-02-08
54,Logan Hernandez,56,Brazil,Finance,Assistant,87033.39,2023-03-09
55,Daniel Wilson,41,Canada,Finance,Developer,66226.39,2023-01-03
56,Mia Martinez,58,Australia,Marketing,Analyst,92336.34,2017-07-10
57,Lily Brown,42,Mexico,Support,Developer,124141.01,2021-12-08
58,Ethan Jackson,54,USA,HR,Consultant,46304.72,2022-07-10
59,Logan Moore,58,Canada,Engineering,Manager,138189.6,2023-07-11
60,Mason Hernandez,54,Germany,Sales,Manager,126649.83,2018-04-20
61,Ava Jackson,28,Mexico,Engineering,Consultant,125007.69,2024-06-07
62,Mia Martinez,52,India,Support,Consultant,140818.53,2019-07-03
63,Mason Wilson,24,USA,Finance,Manager,109062.08,2023-10-28
64,Daniel Taylor,40,Japan,Support,Executive,40581.9,2015-08-23
65,Emma Moore,27,India,Engineering,Executive,142665.47,2021-03-17
66,Logan Brown,59,UK,Sales,Manager,91702.79,2020-07-14
67,Lily Hernandez,49,USA,HR,Executive,54219.16,2017-07-06
68,Mason Taylor,23,France,Engineering,Assistant,126455.3,2015-03-11
69,Daniel Anderson,44,Mexico,Finance,Analyst,112953.29,2018-10-02
