Employee_ID,Employee_Name,Age,Country,Department,Position,Salary,Joining_Date
4501,Ethan Hernandez,57,France,Finance,Assistant,72163.37,2024-01-30
4502,Sophia Brown,40,USA,Support,Executive,68032.64,2020-11-11
4503,Ava Taylor,31,Australia,Finance,Consultant,87596.22,2021-02-27
4504,Mia Brown,43,Brazil,Engineering,Consultant,143694.59,2020-02-08
4505,Lucas Thomas,23,India,Support,Analyst,109511.2,2024-08-21
4506,Lucas Anderson,38,Australia,Marketing,Assistant,139419.79,2019-08-09
4507,Daniel Wilson,58,Canada,Support,Consultant,70106.89,2015-11-15
4508,Daniel Jackson,34,UK,Support,Developer,58028.13,2019-09-03
4509,Lucas Thomas,23,Brazil,Support,Analyst,96180.54,2023-12-01
4510,Ethan Anderson,32,Australia,Finance,Analyst,108723.01,2018-12-24
4511,Ethan Davis,55,France,Engineering,Analyst,42374.74,2017-06-01
4512,Emma Thomas,47,UK,Sales,Analyst,124142.96,2018-06-22
4513,Logan Martinez,53,USA,Engineering,Consultant,124297.78,2021-11-15
4514,Mia Brown,60,Japan,Sales,Manager,53091.28,2020-01-03
4515,Ava Brown,25,Brazil,Sales,Manager,60412.68,2022-12-31
4516,Mia Taylor,39,Japan,Marketing,Assistant,115017.54,2024-04-02
4517,Ava Moore,29,Mexico,Engineering,Analyst,94175.17,2019-02-03
4518,Ava Brown,30,Australia,Marketing,Developer,114496.71,2024-05-25
4519,Lily Moore,38,USA,Sales,Analyst,98861.5,2019-08-09
4520,Emma Taylor,60,Mexico,HR,Assistant,105889.79,2017-04-01
4521,Daniel Hernandez,36,UK,HR,Assistant,93147.11,2019-08-29
4522,Ava Thomas,50,Germany,Sales,Executive,46783.36,2020-05-19
4523,Mason Brown,43,UK,Sales,Assistant,98747.27,2021-12-05
4524,Daniel Martinez,57,France,Support,Consultant,61879.96,2024-02-23
4525,Sophia Brown,43,Canada,Sales,Assistant,63695.79,2022-01-08
4526,Lily Jackson,56,Japan,Marketing,Executive,77026.66,2022-08-01
4527,Lucas Taylor,60,Canada,HR,Consultant,40363.04,2019-09-24
4528,Mia Hernandez,36,Mexico,Finance,Developer,48190.19,2023-01-11
4529,Mason Davis,53,India,Sales,Analyst,50340.58,2017-11-19
4530,Sophia Wilson,57,Brazil,Finance,Executive,146731.52,2024-12-28
